#x = numpy.linspace(0.0,15.0,200)
#sigma = 3.0
#m = 15.0
#b = 9.0
#y = m*x + b + sigma*numpy.random.randn(len(x))
#res = numpy.vstack((x,y)).T
#numpy.savetxt('lin.dat', res)
0.000000000000000000e+00 1.005403975910411773e+01
7.537688442211054607e-02 1.217788440499217373e+01
1.507537688442210921e-01 1.129045624296091610e+01
2.261306532663316382e-01 1.451676263149585289e+01
3.015075376884421843e-01 1.128850969013559080e+01
3.768844221105527303e-01 1.100313334375599794e+01
4.522613065326632764e-01 1.534749178368931410e+01
5.276381909547738225e-01 1.714742391987225290e+01
6.030150753768843686e-01 9.812440568414118047e+00
6.783919597989949146e-01 1.668749105362486773e+01
7.537688442211054607e-01 1.577582707129890238e+01
8.291457286432160068e-01 1.923945699375464713e+01
9.045226130653265528e-01 2.295116958504328508e+01
9.798994974874370989e-01 2.246737486576070353e+01
1.055276381909547645e+00 2.079021310651515364e+01
1.130653266331658191e+00 3.172151730686817572e+01
1.206030150753768737e+00 2.870307109149523228e+01
1.281407035175879283e+00 2.729167078118402401e+01
1.356783919597989829e+00 3.213990584851319454e+01
1.432160804020100375e+00 3.069766190754305768e+01
1.507537688442210921e+00 3.003739536030790447e+01
1.582914572864321467e+00 3.350227377929335404e+01
1.658291457286432014e+00 3.341610937751805466e+01
1.733668341708542560e+00 3.151913566128608579e+01
1.809045226130653106e+00 3.683660810296203181e+01
1.884422110552763652e+00 3.931793117743106336e+01
1.959798994974874198e+00 3.458210665332835276e+01
2.035175879396984744e+00 4.031976727422132711e+01
2.110552763819095290e+00 3.985555968796999338e+01
2.185929648241205836e+00 3.872466769975419254e+01
2.261306532663316382e+00 3.741975473527178764e+01
2.336683417085426928e+00 3.719720180400734222e+01
2.412060301507537474e+00 4.929494662642177616e+01
2.487437185929648020e+00 4.256277456986458674e+01
2.562814070351758566e+00 4.884551911972153704e+01
2.638190954773869112e+00 4.783076988599918877e+01
2.713567839195979658e+00 4.973702811463584084e+01
2.788944723618090205e+00 5.127031569065134420e+01
2.864321608040200751e+00 4.890483253775585126e+01
2.939698492462311297e+00 5.134425120815657095e+01
3.015075376884421843e+00 5.687306085218651930e+01
3.090452261306532389e+00 5.508589536086968508e+01
3.165829145728642935e+00 5.709279297347764981e+01
3.241206030150753481e+00 6.703044310743906919e+01
3.316582914572864027e+00 5.825299047297276900e+01
3.391959798994974573e+00 5.598681811814958564e+01
3.467336683417085119e+00 5.516759575208495647e+01
3.542713567839195665e+00 6.365506663938963783e+01
3.618090452261306211e+00 6.312241838791794635e+01
3.693467336683416757e+00 6.522435617785239970e+01
3.768844221105527303e+00 6.631808952710446192e+01
3.844221105527637850e+00 6.884983293843735908e+01
3.919597989949748396e+00 6.309681105451021210e+01
3.994974874371858942e+00 6.655564758317414942e+01
4.070351758793969488e+00 7.256692659729590389e+01
4.145728643216079590e+00 6.643787426999904255e+01
4.221105527638190580e+00 7.728984683741708750e+01
4.296482412060301570e+00 7.589792978444961591e+01
4.371859296482411672e+00 7.401126977988444366e+01
4.447236180904521774e+00 7.505326514484066536e+01
4.522613065326632764e+00 7.956872271755315751e+01
4.597989949748743754e+00 7.903185119064535513e+01
4.673366834170853856e+00 7.461775207876290494e+01
